sr_no,standard_number,title,size,format,language,publish_date,view_url,download_url,source
1,IS 12615:,IS 12615: 2026 Line Operated Three Phase a.c. Motors (IE Code) Efficiency Classes and Performance — Specification (Fourth Revision),547 KB,Pdf,Bilingual,07-05-2026,https://www.bis.gov.in/wp-content/uploads/2026/06/SOM_May2026.pdf,https://www.bis.gov.in/wp-content/uploads/2026/06/SOM_May2026.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
2,IS 19671,IS 19671 : 2026 / ISO 5201 : 2024 Financial Services — Code-Scanning Payment Security,702 KB,Pdf,Bilingual,10-04-2026,https://www.bis.gov.in/wp-content/uploads/2026/05/SOM_10042026.pdf,https://www.bis.gov.in/wp-content/uploads/2026/05/SOM_10042026.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
3,IS 19598:2026,IS 19598:2026      E-Commerce — Principles and Guidelines for Self-Governance,561 KB,Pdf,Bilingual,10-03-2026,https://www.bis.gov.in/wp-content/uploads/2026/04/SOM_10032026.pdf,https://www.bis.gov.in/wp-content/uploads/2026/04/SOM_10032026.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
4,IS 19445:2025,IS 19445:2025  Bomb Disposal Systems — Performance Evaluation and Requirements,562 KB,Pdf,Bilingual,09-02-2026,https://www.bis.gov.in/wp-content/uploads/2026/03/SOM_Feb_1_2026.pdf,https://www.bis.gov.in/wp-content/uploads/2026/03/SOM_Feb_1_2026.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
5,IS 17900,IS 17900 (Part 7/Sec 4): 2025  Lifts for the Transport of Persons and Goods  Part 7 Lifts for Special Applications  Section 4 Requirements of Lifts for Persons with Disabilities,683 KB,Pdf,Bilingual,08-01-2026,https://www.bis.gov.in/wp-content/uploads/2026/02/SOM_January_2026.pdf,https://www.bis.gov.in/wp-content/uploads/2026/02/SOM_January_2026.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
6,IS 3735:2025,"IS 3735:2025  	Canvas Shoes, Rubber Sole — Specification (Third Revision)",594 KB,Pdf,Bilingual,04-12-2025,https://www.bis.gov.in/wp-content/uploads/2026/01/soM_dec_2025_1.pdf,https://www.bis.gov.in/wp-content/uploads/2026/01/soM_dec_2025_1.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
7,SP 72,SP 72 : 2025           NATIONAL LIGHTING CODE OF INDIA 2025 ( First Revision ),652 KB,Pdf,Bilingual,11-11-2025,https://www.bis.gov.in/wp-content/uploads/2025/12/SOM_Nov_2025.pdf,https://www.bis.gov.in/wp-content/uploads/2025/12/SOM_Nov_2025.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
8,IS 14349:2025,IS 14349:2025  Code for Hygienic Conditions for Processing Units of Edible Oils and Fats (First Revision),514 KB,Pdf,Bilingual,09-10-2025,https://www.bis.gov.in/wp-content/uploads/2025/11/SOM_09102025.pdf,https://www.bis.gov.in/wp-content/uploads/2025/11/SOM_09102025.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
9,IS 19328:2025,IS 19328:2025  			Fire Resistant Glass --- Specification,576 KB,Pdf,Bilingual,08-09-2025,https://www.bis.gov.in/wp-content/uploads/2025/10/Standard-of-the-month-09102025.pdf,https://www.bis.gov.in/wp-content/uploads/2025/10/Standard-of-the-month-09102025.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
10,IS 19317:2025,IS 19317:2025 / ISO 53800:2024 Promotion and Implementation of Gender Equality and Women’s Empowerment - Guidelines,577 KB,Pdf,Bilingual,19-08-2025,https://www.bis.gov.in/wp-content/uploads/2025/09/stom_19082025.pdf,https://www.bis.gov.in/wp-content/uploads/2025/09/stom_19082025.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
11,IS 19260:2025,IS 19260:2025 / ISO 15863:2003   Space Systems — Spacecraft-to-Launch-Vehicle Interface Control Document,612 KB,Pdf,Bilingual,01-07-2025,https://www.bis.gov.in/wp-content/uploads/2025/08/SOM_July_25.pdf,https://www.bis.gov.in/wp-content/uploads/2025/08/SOM_July_25.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
12,IS 18998,IS 18998 : 2025/ISO 24187 : 2023 (Principles for the Analysis of Microplastics Present in the Environment),603 KB,Pdf,Bilingual,02-06-2025,https://www.bis.gov.in/wp-content/uploads/2025/07/Standard-of-the-month-June-2025.pdf,https://www.bis.gov.in/wp-content/uploads/2025/07/Standard-of-the-month-June-2025.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
13,IS 19197,IS 19197 : 2025 Ultrafiltration Membrane Based Point-of-Use Drinking Water Treatment System — Specification,716 KB,Pdf,Bilingual,06-05-2025,https://www.bis.gov.in/wp-content/uploads/2025/06/Standard-of-the-month-may-2025.pdf,https://www.bis.gov.in/wp-content/uploads/2025/06/Standard-of-the-month-may-2025.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
14,IS 19234,IS 19234 : 2025  Online Coaching Services — Requirements,501 KB,Pdf,Bilingual,04-04-2025,https://www.bis.gov.in/wp-content/uploads/2025/05/Standard-of-the-month-april-2025.pdf,https://www.bis.gov.in/wp-content/uploads/2025/05/Standard-of-the-month-april-2025.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
15,IS 18808:,"IS 18808: 2025 Protective Helmet for Users of Bicycles, Skateboards and Roller Skates — Specification",808 KB,Pdf,Bilingual,10-03-2025,https://www.bis.gov.in/wp-content/uploads/2025/04/standard_of_the_month_march.pdf,https://www.bis.gov.in/wp-content/uploads/2025/04/standard_of_the_month_march.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
16,Specification,Food Serving Utensils Made from Agri By-products — Specification (First Revision),363 KB,Pdf,English,10-03-2025,https://www.bis.gov.in/wp-content/uploads/2025/03/standardofmonth.pdf,https://www.bis.gov.in/wp-content/uploads/2025/03/standardofmonth.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
17,IS 11082:,IS 11082: 2024 Agricultural Tractors for Use in Wet Land Cultivation — Technical Requirements (First Revision),572 KB,Pdf,Bilingual,13-12-2024,https://www.bis.gov.in/wp-content/uploads/2025/01/standard_of_the_month.pdf,https://www.bis.gov.in/wp-content/uploads/2025/01/standard_of_the_month.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
18,IS 11461,IS 11461 : 2024  Compressor Safety — Code of Practice (First Revision),201 KB,Pdf,Bilingual,01-11-2024,https://www.bis.gov.in/wp-content/uploads/2024/12/standard-of-the-month.pdf,https://www.bis.gov.in/wp-content/uploads/2024/12/standard-of-the-month.pdf,https://www.bis.gov.in/archive-standard-of-the-month/?lang=en
